item_id	item_name	categories	address	city	state
1762	Liberty Food & Wine Exchange	Tapas/Small Plates, Event Planning & Services, Specialty Food, Caterers, Food, Venues & Event Spaces, Cocktail Bars, Breakfast & Brunch, Burgers, Italian, Pizza, Nightlife, American (New), Restaurants, Wine Bars, Bars	100 N Sierra St	Reno	NV
1763	Pho Quyen	Restaurants, Vietnamese	2740 E Fowler Ave	Tampa	FL
1764	Filibertos	Tacos, Fast Food, Restaurants, Mexican	2980 W Ina Rd	Tucson	AZ
1765	Crafted	Nightlife, Bars, Comfort Food, Cocktail Bars, Restaurants, American (New), Breakfast & Brunch	3200 Shenandoah Ave	St. Louis	MO
1766	Stove and Tap	Restaurants, American (Traditional), Breakfast & Brunch, American (New), Venues & Event Spaces, Event Planning & Services	329 W Main St	Lansdale	PA
1767	Ruth's Chris Steak House	Steakhouses, Restaurants	45 S. Illinois Street, Circle Centre Mall	Indianapolis	IN
1768	Koreana	Asian Fusion, Restaurants, Korean	37 S 19th St	Philadelphia	PA
1769	Joe's Cafe	Donuts, Breakfast & Brunch, Food, Restaurants, Cafes	857 Terry Pkwy	Terrytown	LA
1770	Rum Sugar Lime	Bars, Bartenders, Event Planning & Services, Nightlife, Cocktail Bars, Lounges	1039 S Virginia St	Reno	NV
1771	Townsend	French, Nightlife, Restaurants, Bars, Cocktail Bars	2121 Walnut St	Philadelphia	PA
1772	Deutsches Haus	Local Services, Venues & Event Spaces, Community Service/Non-Profit, Party & Event Planning, Local Flavor, Festivals, Event Planning & Services, Performing Arts, Arts & Entertainment	1700 Moss St	New Orleans	LA
1773	Good Dog Bar	American (Traditional), Restaurants, Bars, Nightlife, Burgers, Sandwiches, Soup, Pubs	224 S 15th St	Philadelphia	PA
1774	Clover Nail Bar	Hair Removal, Waxing, Nail Salons, Beauty & Spas	419 York Rd	Jenkintown	PA
1775	Olive Garden Italian Restaurant	Italian, Salad, Nightlife, Restaurants, Bars, Soup, Wine Bars	5410 E Broadway Blvd	Tucson	AZ
1776	Hokkaido Seafood Buffet and Grill	Buffets, Seafood, Chinese, Restaurants	4580 N Illinois St	Swansea	IL
1777	Yellow Submarine	Cheesesteaks, Sandwiches, Restaurants, Pizza	710 N Forklanding Rd	Maple Shade	NJ
1778	Pizza Rock	Italian, Sandwiches, Pizza, Restaurants	401 S Parsons Ave	Brandon	FL
1779	Outback Steakhouse	Restaurants, Steakhouses	7885 113th St	Seminole	FL
1780	By George! Pizza Pasta & Cheesesteaks	Restaurants, Italian, Pizza, Cheesesteaks	51 N 12th St	Philadelphia	PA
1781	Mellow Mushroom	Sandwiches, Bars, Restaurants, Pizza, Nightlife, Salad	3811 S Lindbergh Blvd	St. Louis	MO
1782	Ocean Prime	Seafood, American (Traditional), Nightlife, Restaurants, Lounges, Bars, American (New), Steakhouses	8555 N River Rd 100, Ste 100	Indianapolis	IN
1783	Taps Fill Station	Nightlife, Wine Bars, Cocktail Bars, Bars, Beer Bar	111 S Independence Mall E	Philadelphia	PA
1784	Juan's Flying Burrito	Restaurants, Mexican, Mass Media, Cajun/Creole	2018 Magazine St	New Orleans	LA
1785	Brasil Arts Cafe	Juice Bars & Smoothies, Breakfast & Brunch, Brazilian, Restaurants, Food, Salad, Acai Bowls	1230 State St, Ste C	Santa Barbara	CA
1786	Meltkraft At Reading Terminal Market	Soup, Sandwiches, American (Traditional), Restaurants	51 N 12th St	Philadelphia	PA
1787	Buffalo Wild Wings	Sports Bars, Burgers, American (Traditional), Chicken Wings, Nightlife, Bars, Restaurants	8440 Castleton Corner Dr	Indianapolis	IN
1788	Jimmy's Fish House & Iguana Bar	Restaurants, American (Traditional)	521 S Gulfview Blvd	Clearwater Beach	FL
1789	Bogart's Smokehouse	Food, Event Planning & Services, American (Traditional), Caterers, Smokehouse, Barbeque, Sandwiches, Restaurants	1627 S 9th St	Saint Louis	MO
1790	MIDFLORIDA Credit Union Amphitheatre	Event Planning & Services, Arts & Entertainment, Nightlife, Music Venues, Venues & Event Spaces	4802 US Hwy 301 N	Tampa	FL
1791	Dunedin Brewery	Arts & Entertainment, Nightlife, Music Venues, Breweries, American (Traditional), Food, Restaurants	937 Douglas Ave	Dunedin	FL
1792	Bob Evans	Bed & Breakfast, Salad, American (Traditional), Breakfast & Brunch, Comfort Food, Restaurants, Hotels & Travel	1369 Bristol Pike	Bensalem	PA
1793	First Watch	Cafes, Breakfast & Brunch, Restaurants, American (Traditional), American (New)	2539 Countryside Blvd	Clearwater	FL
1794	New Orleans Marriott	American (Traditional), Event Planning & Services, Hotels & Travel, Hotels, Restaurants, Venues & Event Spaces, Arts & Entertainment	555 Canal St	New Orleans	LA
1795	Curtis Hixon Waterfront Park	Active Life, Local Flavor, Parks, Dog Parks, Playgrounds	600 N Ashley Dr	Tampa	FL
1796	Ikkyu	Restaurants, Ramen, Japanese	2040 W Orange Grove Rd, Ste 180	Tucson	AZ
1797	New Leaf 2 Chinese & Japanese Cuisine	Nightlife, Bars, Restaurants, Japanese, Chinese	4260 Main St	Philadelphia	PA
1798	Bobbie's Dairy Dip	Burgers, Hot Dogs, Ice Cream & Frozen Yogurt, Food, Restaurants	5301 Charlotte Ave	Nashville	TN
1799	Farm Burger Nashville	Chicken Wings, Hot Dogs, Beer Bar, Salad, Bars, Nightlife, Restaurants, Burgers, American (Traditional)	4013 Charlotte Ave	Nashville	TN
1800	Mcnamara's Irish Pub and Restaurant	Restaurants, Irish, Irish Pub, Sandwiches, Bars, Nightlife	2740 Old Lebanon Rd	Nashville	TN
1801	Cantina Dos Segundos	Nightlife, Restaurants, Breakfast & Brunch, Bars, Mexican	931 N 2nd St	Philadelphia	PA
1802	Plaza Azteca	Restaurants, Nightlife, Bars, Mexican, Seafood	470 W Lincoln Hwy	Exton	PA
1803	Marzano Ristorante	Seafood, Pizza, Italian, Restaurants	309 York Rd	Jenkintown	PA
1804	Laura's Candies	Candy Stores, Specialty Food, Food, Chocolatiers & Shops	331 Chartres St	New Orleans	LA
1805	Brothers Burger Joint	Burgers, Cajun/Creole, Restaurants	2821 Bransford Ave	Berry Hill	TN
1806	Bleu Sushi	Sushi Bars, Japanese, Restaurants, Asian Fusion, Tapas/Small Plates	262 S 10th St	Philadelphia	PA
1807	Texas Roadhouse	Steakhouses, Restaurants, Tex-Mex, American (Traditional), Burgers, Barbeque	968 W Irvington Rd	Tucson	AZ
1808	Carrabba's Italian Grill	Restaurants, Italian, Seafood	533 Cool Springs Blvd	Franklin	TN
1809	V Street	American (New), Breakfast & Brunch, Vegetarian, Vegan, Bars, Wine Bars, Restaurants, Nightlife	126 S 19th St	Philadelphia	PA
1810	Punch Bowl Social Indianapolis	Active Life, Restaurants, Arts & Entertainment, Bars, Breakfast & Brunch, Beer Bar, Beer, Wine & Spirits, Tacos, Mexican, Bowling, Food, American (Traditional), Coffee & Tea, Eatertainment, Gastropubs, Nightlife, American (New)	120 South Meridian St	Indianapolis	IN
1811	Applebee's Grill + Bar	American (Traditional), Bars, Sports Bars, Restaurants, Chicken Wings, Nightlife, Burgers, Steakhouses	4805 Kietzke Ln	Reno	NV
1812	Mac's Local Eats	Restaurants, American (Traditional), Burgers, Local Flavor, Salad	5656 Oakland Ave	St Louis	MO
1813	Wokano	Dim Sum, Japanese, Restaurants, Chinese	1100 Washington Ave	Philadelphia	PA
1814	Ravanesi Pizzeria Napoletana	Pizza, Italian, Restaurants	790 Baltimore Pike	Glen Mills	PA
1815	Bistro Albertino	Italian, Restaurants	634 N York Rd	Willow Grove	PA
1816	Sabrina's Café	Breakfast & Brunch, Restaurants, Vegetarian, Cafes, American (New), Food, Diners, American (Traditional)	1804 Callowhill St	Philadelphia	PA
1817	DAVIDsTEA	Shopping, Home & Garden, Breweries, Kitchen & Bath, Food, Coffee & Tea, Tea Rooms	8702 Keystone Xing, Unit B3	Indianapolis	IN
1818	Ike's Sandwiches	Restaurants, Vegetarian, Sandwiches, Gluten-Free, Vegan	2175 N Virginia St	Reno	NV
1819	Jacksons Bistro Bar & Sushi	Seafood, Japanese, Nightlife, Dance Clubs, Bars, American (New), Restaurants, Sushi Bars	601 S Harbour Island Blvd, Ste 100	Tampa	FL
1820	Three Kings Public House	Bars, Restaurants, Burgers, Nightlife, American (New), American (Traditional), Pubs, Gastropubs	6307 Delmar Blvd	Saint Louis	MO
1821	La Colombe Coffee	Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch	1335 Frankford Ave	Philadelphia	PA
1822	Señor Tequila Mexican Grill	Mexican, Bars, Restaurants, Nightlife	12950 Race Track Rd	Tampa	FL
1823	Antonella's Italian Kitchen	Italian, Restaurants	841 Conestoga Rd	Rosemont	PA
1824	Sidney Street Cafe	Nightlife, Bars, Wine Bars, Soup, Restaurants, American (New)	2000 Sidney St	Saint Louis	MO
1825	Tennessee Performing Arts Center	Arts & Entertainment, Music Venues, Nightlife, Performing Arts	505 Deaderick St	Nashville	TN
1826	Ceres	Food, Cafes, Bakeries, Pasta Shops, Specialty Food, Restaurants	77 W Washington St	Tucson	AZ
1827	Soulfedphilly	Seafood, Bars, Nightlife, Restaurants	6424 Castor Ave	Philadelphia	PA
1828	Chick-fil-A	Caterers, Restaurants, Event Planning & Services, Chicken Shop, Fast Food	2525 Countryside Blvd	Clearwater	FL
1829	Foundation Coffee	Food, Coffee & Tea, Coffee Roasteries, Bakeries	1607 North Franklin St	Tampa	FL
1830	Stacked STL	Restaurants, Desserts, Food, Bars, American (Traditional), Nightlife, Burgers	7637 Ivory Ave	Saint Louis	MO
1831	Olive Garden Italian Restaurant	Wine Bars, Italian, Restaurants, Bars, Salad, Soup, Nightlife	1200 Bethlehem Pike	North Wales	PA
1832	Farmer & the Cow	Burgers, Beer, Wine & Spirits, Nightlife, Restaurants, Cocktail Bars, Food, Bars, Juice Bars & Smoothies, Salad	413 N Market St	Wilmington	DE
1833	Pisces Sushi and Global Bistro	Asian Fusion, Restaurants, Seafood, Diners, Sushi Bars	799 Highland Ave	Dunedin	FL
1834	Mazzella's Italian Restaurant	Sandwiches, Pizza, Italian, Restaurants	729 Philadelphia Pike	Wilmington	DE
1835	Chicken Salad Chick	Southern, Restaurants, Soup, Chicken Shop, Sandwiches, Salad	12536 Olive Blvd, Ste A	Creve Coeur	MO
1836	TailGate Brewery Music Row	Bars, Sandwiches, Breweries, Nightlife, Food, Restaurants, Beer Bar, Pizza	1538 Demonbreun St	Nashville	TN
1837	Magic Carpet Golf	Restaurants, Arts & Entertainment, Golf, Arcades, Pizza, Mini Golf, Party & Event Planning, Active Life, Event Planning & Services	6925 S Virginia St	Reno	NV
1838	Bagel Cafe	Restaurants, Cafes, Bagels, Food	6551 Trigo Rd	Goleta	CA
1839	Decibel Coffee Works	Coffee & Tea, Food, Restaurants, Coffee Roasteries, Sandwiches, Breakfast & Brunch, Desserts	267 S Avenida Del Convento, Bldg 9	Tucson	AZ
1840	Sedona Taphouse	Food, American (New), Restaurants, Beer, Wine & Spirits	1120 3rd Ave N	Nashville	TN
1841	Asuka Sushi & Hibachi	Restaurants, Sushi Bars, Food, Japanese, Asian Fusion	7912 Earhart Blvd	New Orleans	LA
1842	Gooey Looie's	Sandwiches, Cheesesteaks, Restaurants, Delis	231 McClellan St	Philadelphia	PA
1843	Laurel Street Bakery	Bagels, Sandwiches, Food, Restaurants, Salad, Bakeries	2701 S Broad Ave	New Orleans	LA
1844	Picasso's Coffee House	Arts & Entertainment, Shopping, Desserts, Restaurants, Breakfast & Brunch, Food, Coffee & Tea, Beverage Store, Art Galleries, Sandwiches, Cafes, Coffee Roasteries	101 N Main St	Saint Charles	MO
1845	Olive Garden Italian Restaurant	Restaurants, Bars, Nightlife, Soup, Italian, Salad, Wine Bars	9280 Roosevelt Blvd	Philadelphia	PA
1846	Cajun Kitchen Cafe	Restaurants, Breakfast & Brunch, Cafes, Cajun/Creole	6831 Hollister Ave, Ste A	Goleta	CA
1847	Sandbar	Nightlife, Arts & Entertainment, Restaurants, Dance Clubs, Bars, Music Venues, Mexican, Sports Bars	514 State St	Santa Barbara	CA
1848	Boston Market	Comfort Food, Restaurants, American (Traditional), Caterers, Event Planning & Services, Chicken Shop, Sandwiches	4801 Kietzke Ln	Reno	NV
1849	The Lake Bar & Grill	Bars, Sports Bars, Nightlife, American (Traditional), Mexican, Food, Arts & Entertainment, Restaurants, Breakfast & Brunch, Wineries	9716 Pyramid Hwy	Sparks	NV
1850	Gigi's Cupcakes of Indianapolis	Desserts, Food Trucks, Cupcakes, Food, Bakeries	8487 Union Chapel Rd, Ste 440	Indianapolis	IN
1851	Acropolis	Restaurants, Greek, Food, Desserts, Mediterranean, Salad	3841 Veterans Blvd	Metairie	LA
1852	Planet Fitness	Fitness & Instruction, Gyms, Trainers, Active Life	10525 N Oracle Rd	Oro Valley	AZ
1853	The Blue Ocean	Cocktail Bars, Bars, Nightlife, Ramen, Sushi Bars, Japanese, Restaurants	6335 Delmar Blvd	St. Louis	MO
1854	Tampa Theatre	Arts & Entertainment, Cinema, Music Venues, Nightlife, Venues & Event Spaces, Event Planning & Services	711 N Franklin St	Tampa	FL
1855	Seahorse	Restaurants, Breakfast & Brunch, American (Traditional)	800 Pass A Grille Way	St. Pete Beach	FL
1856	Neighborhood Ramen	Ramen, Japanese, Restaurants	617 S 3rd St	Philadelphia	PA
1857	Moriarty's Restaurant and Irish Pub	Bars, Burgers, Chicken Wings, Restaurants, Pubs, Nightlife, American (Traditional), Irish	1116 Walnut St	Philadelphia	PA
1858	MoriMori	American (Traditional), Japanese, Restaurants, Korean, Sushi Bars	649 S Mt Juliet Rd	Mount Juliet	TN
1859	Ybor Grille	Nightlife, Restaurants, Cuban, Wine Bars, Bars	339 19th Ave NE	Ruskin	FL
1860	Rosati's Pizza	Italian, Restaurants, Sandwiches, Sports Bars, Nightlife, Bars, Pizza	12152 N Rancho Vistoso Blvd, #C170	Oro Valley	AZ
1861	Peace Water Winery	Wineries, Food, Arts & Entertainment	37 W Main St	Carmel	IN
1862	Emmy Squared - Queen Village	Pizza, Sandwiches, Burgers, Restaurants	632 S 5th St	Philadelphia	PA
1863	Fitzwater Street Philly Bagels	Breakfast & Brunch, Food, Restaurants, Bagels, Coffee & Tea, Sandwiches	2001 Fitzwater St	Philadelphia	PA
1864	General American Donut Company	Coffee & Tea, Bakeries, Donuts, American (Traditional), Food, Restaurants, Fast Food	827 S East St	Indianapolis	IN
1865	Sweet Sensation Donuts	Restaurants, Food, Patisserie/Cake Shop, Hot Dogs, Donuts	1735 W Franklin Rd, Ste 120	Meridian	ID
1866	Wishing Town Bakery Cafe	Restaurants, Bubble Tea, Patisserie/Cake Shop, Cafeteria, Coffee & Tea, Food, Cafes, Bakeries, Breakfast & Brunch	701 David Dr	Metairie	LA
1867	Chapterhouse Café & Gallery	Restaurants, Food, Coffee & Tea	620 S 9th St	Philadelphia	PA
1868	Toasted Monkey	Sports Bars, American (Traditional), Seafood, American (New), Adult Entertainment, Nightlife, Burgers, Bars, Restaurants	678 75th Ave	St Pete Beach	FL
1869	Jason's Deli	Restaurants, Event Planning & Services, Delis, Sandwiches, Salad, Caterers	2702 E Fowler Ave, Ste B	Tampa	FL
1870	West Beignet	Restaurants, Food, Bakeries, Food Stands	900 Airline Dr	Kenner	LA
1871	California Pizza Kitchen - Cherry Hill	Restaurants, Food, American (New), American (Traditional), Salad, Pizza	2000 Rte 38, Ste 1025, Cherry Hill Mall	Cherry Hill	NJ
1872	Catches Waterfront Grille	Restaurants, Seafood	7811 Bayview St	Port Richey	FL
1873	Legacy Nails and Spa	Beauty & Spas, Nail Salons	13979 S Virginia St	Reno	NV
1874	Ice & Cream Creamery	Desserts, Food, Ice Cream & Frozen Yogurt	455 S Gulfview Blvd	Clearwater	FL
1875	La Creperia Cafe	Creperies, Desserts, Breakfast & Brunch, Restaurants, Coffee & Tea, Specialty Food, Local Flavor, Food	1729 E 7th Ave	Tampa	FL
1876	Golden Dinosaurs	Coffee & Tea, Pubs, Delis, Food, Vegan, Cuban, Restaurants, Bars, Nightlife	2930 Beach Blvd S	Gulfport	FL
1877	Revolution Taco	Mexican, Tacos, Restaurants	2015 Walnut St	Philadelphia	PA
1878	Square Cat Vinyl	Food, Nightlife, Coffee & Tea, Beer, Wine & Spirits, Vinyl Records, Shopping, Beer Bar, Bars, Books, Mags, Music & Video	1054 Virginia Ave	Indianapolis	IN
1879	Fogo de Chao	Seafood, Steakhouses, Brazilian, Restaurants	1337 Chestnut St	Philadelphia	PA
1880	Pizzeria Gregario	Restaurants, Beer Bar, Salad, Pizza, Kombucha, Nightlife, Bars, Food	400 2nd St N	Safety Harbor	FL
1881	Rapscallion Seafood House & Bar	Nightlife, Seafood, Beer Bar, Bars, Restaurants, Party & Event Planning, Event Planning & Services, Steakhouses	1555 S Wells Ave	Reno	NV
1882	Araña Taqueria y Cantina	Tacos, Cocktail Bars, Nightlife, Bars, Restaurants, Soup, Beer Bar, Food, Mexican	3242 Magazine St	New Orleans	LA
1883	Pietro's Pizza	Event Planning & Services, Party & Event Planning, Pizza, Restaurants, Italian, Caterers	236 N Radnor-Chester Rd	Wayne	PA
1884	J. Alexander's Restaurant	American (New), Steakhouses, Seafood, Restaurants	73 White Bridge Rd, Ste 130	Nashville	TN
1885	Winterlights at Newfields	Festivals, Arts & Entertainment	4000 N Michigan Rd	Indianapolis	IN
1886	Chef Ma's Chinese Gourmet Restaurant	Restaurants, Cantonese, Soup, Noodles, Chinese	10440 Page Ave	St. Louis	MO
1887	Bamboula's	Restaurants, Nightlife, Arts & Entertainment, Music Venues, American (Traditional)	514 Frenchmen St	New Orleans	LA
1888	Butchertown Hall	American (Traditional), Breakfast & Brunch, German, Gastropubs, Restaurants, American (New)	1416 4th Ave N	Nashville	TN
1889	Hyatt House Nashville at Vanderbilt	Hotels, Hotels & Travel, Event Planning & Services	2100 Hayes St	Nashville	TN
1890	Rackz BBQ	Barbeque, Caterers, Restaurants, Event Planning & Services	5790 E Main St, Ste 140	Carmel	IN
1891	Bisbee Breakfast Club	Restaurants, American (Traditional), Breakfast & Brunch	410 N Wilmot Rd, Ste 110	Tucson	AZ
1892	Captain Hooks	Seafood Markets, Seafood, Spanish, Cajun/Creole, Specialty Food, Food, Salad, Fish & Chips, Restaurants, Food Banks, Local Services, Community Service/Non-Profit	2226 N Broad St	Philadelphia	PA
1893	Revolution House	Pizza, Beer, Wine & Spirits, Food, Nightlife, American (New), Italian, Restaurants, Breakfast & Brunch, Bars, American (Traditional)	200 Market St	Philadelphia	PA
1894	Oishii Poké	Restaurants, Mexican, Food, Hawaiian, Poke, Japanese	938 Arch St	Philadelphia	PA
1895	Heights Seafood	Food, Seafood, Poke, Restaurants, Seafood Markets, Specialty Food	6421 N Florida Ave	Tampa	FL
1896	True NY Pizza	Restaurants, Pizza, Italian, Salad	2888 Vista Blvd, Ste 102	Sparks	NV
1897	El Toluco Taqueria & Grocery	Food, Mexican, Tacos, Restaurants, International Grocery	14234 Manchester	Saint Louis	MO
1898	Native Grill & Wings	American (New), Nightlife, Chicken Wings, Bars, Sports Bars, Restaurants, American (Traditional)	5421 S Calle Santa Cruz	Tucson	AZ
1899	Ekta Indian Cuisine	Restaurants, Pakistani, Indian	1142 Crease St	Philadelphia	PA
1900	Ella's Americana Folk Art Cafe	American (New), Cafes, Restaurants, Food	5119 N Nebraska Ave	Tampa	FL
1901	Rush Bowls	Acai Bowls, Food, Juice Bars & Smoothies, Breakfast & Brunch, Restaurants	227 N Euclid Ave	St Louis	MO
1902	Jung's Golden Dragon II	Restaurants, Chinese	3009 Magazine St	New Orleans	LA
1903	Gracious Bakery + Cafe	Bakeries, Restaurants, Cafes, Food, Coffee & Tea, Breakfast & Brunch	2854 Saint Charles Ave	New Orleans	LA
1904	Killer Poboys	American (New), Sandwiches, Food, Cajun/Creole, Restaurants	811 Conti St	New Orleans	LA
1905	Twenty Tap	American (New), Nightlife, Restaurants, Bars, Gastropubs, Local Flavor	5406 N College Ave	Indianapolis	IN
1906	Azie on Main	Sushi Bars, Asian Fusion, Restaurants, Nightlife, Breakfast & Brunch, Beer Bar, Bars	789 E Lancaster Ave	Villanova	PA
1907	Blue Corn	Food, Beer, Wine & Spirits, Nightlife, Restaurants, Bars, Cocktail Bars, Mexican	940 S 9th St	Philadelphia	PA
1908	Carolina Kitchen & Barbeque	Restaurants, Barbeque, Soul Food, Southern	950 Glendale Ave	Sparks	NV
1909	Yards Brewing Company	American (Traditional), Nightlife, Food, Bars, Restaurants, Beer, Wine & Spirits, American (New), Pubs, Local Flavor, Breweries, Event Planning & Services, Venues & Event Spaces	500 Spring Garden St	Philadelphia	PA
1910	Fujiyama Steak House of Japan	Steakhouses, Sushi Bars, Restaurants, Japanese	5149 Victory Dr	Indianapolis	IN
1911	ALDI	Grocery, Organic Stores, Beer, Wine & Spirits, Food, Meat Shops, Specialty Food, Fruits & Veggies, Shopping, Discount Store	2603 S Front St	Philadelphia	PA
1912	Sub Zero Nitrogen Ice Cream	Food, Desserts, Ice Cream & Frozen Yogurt, Juice Bars & Smoothies	427 Massachusetts Ave	Indianapolis	IN
1913	Charleville Brewing Company	Restaurants, Food, Nightlife, Bars, Gastropubs, Breweries, Sandwiches, Pubs	2101 Chouteau Ave	St. Louis	MO
1914	Fred's Southern Kitchen	Restaurants, Buffets, Southern	1401 W Dr Martin Luther King Blvd	Plant City	FL
1915	AC Hotel by Marriott Nashville Downtown	Event Planning & Services, Hotels, Hotels & Travel	410 5th Avenue South	Nashville	TN
1916	Sushi Garden	Buffets, Sushi Bars, Financial Services, Japanese, Tax Services, Restaurants	3048 E Broadway Blvd	Tucson	AZ
1917	Seoul Fried Chicken	Chicken Shop, Korean, Restaurants	7904B - 104 Street	Edmonton	AB
1918	Uncle Bill's Pancake & Dinner House	American (Traditional), Diners, Restaurants, Breakfast & Brunch, American (New)	14196 Manchester Rd	Ballwin	MO
1919	IndeBlue Modern Indian Food & Spirits	Cocktail Bars, Food Delivery Services, Nightlife, Breakfast & Brunch, Food, Bars, Event Planning & Services, Caterers, Restaurants, Indian	205 South 13th St	Philadelphia	PA
1920	El Merkury	Desserts, Restaurants, Gluten-Free, Food, Salvadoran, Latin American, American (Traditional)	2104 Chestnut St	Philadelphia	PA
1921	honeygrow	Vegetarian, Restaurants, American (New), Salad, Noodles, Vegan	3731 Walnut St	Philadelphia	PA
1922	Lithia Chrysler Jeep of Reno	Car Dealers, Oil Change Stations, Auto Repair, Auto Parts & Supplies, Auto Loan Providers, Automotive	1050 E Plumb Ln, Ste 100	Reno	NV
1923	Pastiche Modern Eatery	American (New), American (Traditional), Restaurants	3025 N Campbell Ave	Tucson	AZ
1924	4 Seasons	Thai, Breakfast & Brunch, Chinese, American (Traditional), Restaurants, American (New)	1423 W Miracle Mile	Tucson	AZ
1925	India Kabab & Curry	Buffets, Indian, Restaurants, Middle Eastern, Vegan, Pakistani, Kebab	1091 S Virginia St	Reno	NV
1926	Lincoln Square Pancake House	Breakfast & Brunch, Food, Restaurants	2330 N Meridian St	Indianapolis	IN
1927	Ford's Garage	Nightlife, Bars, Desserts, Food, Restaurants, Burgers, Comfort Food, Breakfast & Brunch, Cocktail Bars, American (Traditional)	11105 Causeway Blvd	Brandon	FL
1928	Starbucks	Restaurants, Fast Food, Food, Coffee & Tea	5970 W Arizona Pavilions Dr	Tucson	AZ
1929	Snake and Jake's Christmas Club Lounge	Dive Bars, Bars, Arts & Entertainment, Nightlife	7612 Oak St	New Orleans	LA
1930	Pies & Pints	Chicken Wings, Salad, Restaurants, Nightlife, Bars, Beer Bar, Pizza	14550 Clay Terrace Blvd, Ste 100	Carmel	IN
1931	Repeal Restaurant	Restaurants, Bars, American (New), Southern, Nightlife, Barbeque	630 Virginia Ave	Indianapolis	IN
1932	The Lure	Bars, Pool Halls, Sushi Bars, Restaurants, Nightlife, Tapas Bars	661 Central Ave	Saint Petersburg	FL
1933	Palais De Jade	Restaurants, Chinese	960 W Moana Ln	Reno	NV
1934	Skull's Rainbow Room	American (New), Public Services & Government, Landmarks & Historical Buildings, Diners, Salad, Bars, Burgers, Nightlife, American (Traditional), Restaurants, Steakhouses, Seafood, Breakfast & Brunch, Cocktail Bars	222 Printers Aly	Nashville	TN
1935	Sasha's	Breakfast & Brunch, Bars, American (New), Nightlife, Wine Bars, Restaurants	706 De Mun Ave	Saint Louis	MO
1936	Butcher and Singer	Restaurants, Steakhouses, American (Traditional)	1500 Walnut St	Philadelphia	PA
1937	Minado	Restaurants, Japanese, Seafood, Buffets	2917 Swede Rd	East Norriton	PA
1938	Bar Louie - Streets of St. Charles	Nightlife, American (New), Restaurants, Cocktail Bars, Bars, Gastropubs, Sports Bars	1650 Beale St, Ste 180	Saint Charles	MO
1939	Puccini's Pizza Pasta-Greenbriar	Bars, Wine Bars, Pizza, Sandwiches, Nightlife, Gluten-Free, Restaurants, Italian	1508 W 86th St	Indianapolis	IN
1940	Attico Rooftop Lounge	Tapas/Small Plates, American (Traditional), Beer, Wine & Spirits, Mediterranean, Restaurants, Food, Bars, Cocktail Bars, Nightlife	219 S Broad St, Rooftop of Cambria Hotel	Philadelphia	PA
1941	Blaze Pizza	Salad, Fast Food, Restaurants, Pizza	1370 Big Fish Dr, Legends at Sparks, Legends at Sparks	Sparks	NV
1942	Carlucci's Waterfront	Seafood, Restaurants, Steakhouses, Italian, Caterers, Event Planning & Services	876 Centerton Rd	Mount Laurel	NJ
1943	AC Hotel by Marriott New Orleans French Quarter	Venues & Event Spaces, Hotels & Travel, Hotels, Event Planning & Services	221 Carondelet St	New Orleans	LA
1944	Hana Kitchen	Bubble Tea, Restaurants, Food, Asian Fusion, Vegan, Acai Bowls	503 State St	Santa Barbara	CA
1945	The Egyptian Cafe and Hookah Bar	Cafes, Internet Cafes, Food, Mediterranean, Greek, Middle Eastern, Bars, Nightlife, Hookah Bars, Restaurants, Egyptian	6265 Carrollton Ave	Indianapolis	IN
1946	Big EZ Seafood	Southern, Restaurants, Sandwiches, Seafood	1632 Lafayette St	Gretna	LA
1947	Greg's Kitchen	Comfort Food, American (Traditional), Restaurants, Sandwiches, Breakfast & Brunch	4460 Main St	Philadelphia	PA
1948	Mystic Fish Seafood Grill & Bar	Restaurants, Seafood, Bars, Salad, Tapas/Small Plates, Nightlife	3253 Tampa Rd	Palm Harbor	FL
1949	Sushi Pier Midtown	Japanese, Restaurants, Sushi Bars, Buffets	1507 S Virginia St	Reno	NV
1950	Macho Tequila's	Restaurants, Mexican, Tex-Mex	2144 Greenbrae Dr	Sparks	NV
1951	Catch Twenty Three	Restaurants, Latin American, Caribbean, Sushi Bars, Seafood	10103 Montague St	Tampa	FL
1952	Iron Hill Brewery & Restaurant	Breweries, Restaurants, Food, American (New)	3 West Gay St	West Chester	PA
1953	Southwest Airlines	Transportation, Hotels & Travel, Airlines	1 Terminal Dr, Ste 501	Nashville	TN
1954	Arnold's Country Kitchen	Comfort Food, Southern, Desserts, Food, Restaurants	605 8th Ave S	Nashville	TN
1955	Hooters	Restaurants, Barbeque, Nightlife, American (New), Bars, American (Traditional), Chicken Wings, Burgers, Seafood, Sports Bars	2800 Gulf To Bay Blvd	Clearwater	FL
1956	Carmel Christkindlmarkt	Arts & Entertainment, Restaurants, Skating Rinks, Festivals, Shopping, Food Stands, Public Markets, Active Life	10 Carter Green	Carmel	IN
1957	Jack's Donuts	Donuts, Food	2230 Stafford Rd	Plainfield	IN
1958	Cafe Nhan	Restaurants, Vietnamese	1606 W Passyunk Ave	Philadelphia	PA
1959	Thai 202	Restaurants, Thai	235 N Euclid Ave	Saint Louis	MO
1960	Saltgrass Steak House	Restaurants, Seafood, Steakhouses, Chicken Shop, American (Traditional)	4860 Veterans Blvd	Metairie	LA
1961	Namaste Indian Bistro	Restaurants, Indian, Himalayan/Nepalese	876 E Street Rd	Warminster	PA
